Measuring_Point,Date,Temperatur,TDS,TSS,NH3,Surfactant,Phenol,Phospate,BOD,COD,OG,NO3,DO,pH,Cl3,Fecal_Coliform,Total_Coliform,Debit,Class
4,X/08/2017,28,549,60,0.8,780,1,0.38,40.13,121.89,3050,0.1,0.5,8.05,0.01,13000,24000,21.06,4
4,X/09/2017,28,403,144,0.2,20,1,0.89,40.13,123.97,2810,0.1,0.3,7.68,0.7,13000,24000,13.6,4
4,X/10/2017,27,270,68,0.09,10,1,0.3,13.11,43.27,200,0.1,2.8,7.63,0.06,63000,84000,27,4
4,X/04/2018,26.3,214,17,1.18,122,1,0.057,8.13,27.5,800,1.21,3.17,7.49,0.062,300000,500000,146,4
4,X/05/2018,28,698,29,1.76,110,1,0.046,20.9,89.1,900,3.12,1.72,8.01,0.058,900000,2400000,27.7,4
4,X/07/2018,28,698,29,0.49,153,29.7,0.27,20.9,89.1,900,0.087,1.72,8.01,0.19,900000,1600000,27.7,4
4,X/09/2018,30,928,37,4.16,1036,1,0.61,52.9,190,1200,1.11,0.3,7.45,3.75,900000,3000000,13.7,1
4,X/10/2018,30,806,14,6.12,810,1,0.92,55.3,157,200,2.89,0.5,7.37,0.92,300000,2400000,15.6,3
4,29/X/2019,25.5,248,171,1.1,0.02,52,0.17,5,28,330,2.6,1.6,6.91,0.08,24000,43000,5.39,4
4,X/06/2019,25.7,436,41,2.1,0.1,0.034,0.4,44,102,0.5,0.8,1,7.62,0.02,2909000,2909000,14.7,4
4,X/08/2019,24.1,390,36,19.5,0.03,0.034,0.23,32,81,1.51,1.6,1,7.36,0.02,7450000,17890000,4.68,2
